City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
127,pontes e lacerda,-15.2261,-59.3353,77.94,79,98,3.65,BR,1683407311
128,mount isa,-20.7333,139.5,65.97,32,99,11.5,AU,1683407311
129,baissa,7.2333,10.6333,73.71,94,80,2.57,NG,1683407311
130,trairi,-3.2778,-39.2689,79.5,80,13,8.86,BR,1683407036
131,crane,31.3974,-102.3501,90.82,10,96,7.74,US,1683407312
132,sur,22.5667,59.5289,83.37,58,0,11.32,OM,1683407312
133,qamdo,31.1667,97.2333,29.08,73,1,4.45,CN,1683407312
134,hastings,50.8552,0.5729,56.98,42,100,10.18,GB,1683407313
135,isafjordur,66.0755,-23.124,43.3,90,100,5.73,IS,1683407313
136,acapulco de juarez,16.8634,-99.8901,89.42,70,0,9.22,MX,1683407290
137,weiser,44.251,-116.9693,64.6,45,97,1.99,US,1683407313
138,iqaluit,63.7506,-68.5145,31.69,82,99,28.99,CA,1683407313
139,suva,-18.1416,178.4415,76.48,94,75,8.05,FJ,1683407133
140,margaret river,-33.95,115.0667,54.54,89,100,13.35,AU,1683407156
141,zaqatala,41.6336,46.6433,57.67,77,40,6.91,AZ,1683407314
142,vorgashor,67.5833,63.95,11.79,95,99,7.43,RU,1683407314
143,livingston,55.9029,-3.5226,52.12,98,100,5.75,GB,1683407316
144,rio grande,-32.035,-52.0986,66.31,99,100,8.79,BR,1683407316
145,homestead meadows south,31.811,-106.1643,83.71,9,23,14.58,US,1683407316
146,la paz,-16.5,-68.15,51.78,61,75,8.05,BO,1683407316
147,bel ombre,-4.6167,55.4167,83.05,71,88,13.82,SC,1683407317
148,cestos city,5.46,-9.5828,81.95,80,73,7.94,LR,1683407317
149,falam,22.9167,93.6833,61.63,84,36,4.36,MM,1683407317
150,cidreira,-30.1811,-50.2056,71.02,95,100,9.93,BR,1683407317
151,paciran,-6.8767,112.3761,77.67,90,86,5.86,ID,1683407318
152,buzdyak,54.5833,54.55,45.03,88,100,11.7,RU,1683407318
153,puerto santa,-8.9906,-78.6456,75.24,78,19,11.77,PE,1683407318
154,puerto armuelles,8.2833,-82.8667,86.29,65,100,9.33,PA,1683407318
155,chaman,30.9236,66.4512,63.95,19,0,5.91,PK,1683407318
156,gamba,-2.65,10.0,78.51,87,87,3.47,GA,1683407319
157,avarua,-21.2078,-159.775,82.45,89,86,6.91,CK,1683407319
158,kapa'a,22.0752,-159.319,79.12,67,100,20.71,US,1683407319
159,georgetown,5.4112,100.3354,80.55,89,20,3.44,MY,1683407157
160,miandrivazo,-19.5167,45.4667,72.14,81,0,1.63,MG,1683407320
161,sechura,-5.5569,-80.8222,82.94,62,67,12.5,PE,1683407320
162,weno,7.4515,151.8468,84.15,79,100,5.75,FM,1683407320
163,mana,5.6592,-53.7767,81.5,78,100,9.62,GF,1683407320
164,puerto aysen,-45.4,-72.7,52.68,90,15,3.69,CL,1683407320
165,thompson,55.7435,-97.8558,60.96,36,40,4.61,CA,1683407059
166,kununurra,-15.7667,128.7333,78.78,50,29,12.66,AU,1683407321
167,heihe,50.2441,127.4902,37.98,39,11,3.56,CN,1683407321
168,selfoss,63.9331,-20.9971,50.04,73,100,8.5,IS,1683407321
169,sola,-13.8833,167.55,81.75,77,25,12.88,VU,1683407321
170,nova sintra,14.8667,-24.7167,67.71,80,2,27.36,CV,1683407322
171,kingston,17.997,-76.7936,85.21,93,87,1.99,JM,1683407322
172,plastun,44.7561,136.2939,42.46,66,12,2.53,RU,1683407322
173,saldanha,-33.0117,17.9442,60.76,90,10,2.91,ZA,1683407322
174,sassandra,4.95,-6.0833,81.07,83,22,9.95,CI,1683407322
175,nurota,40.5614,65.6886,54.09,58,16,5.73,UZ,1683407323
176,morondava,-20.2833,44.2833,71.29,82,0,8.63,MG,1683407323
177,ulanhot,46.0833,122.0833,46.26,71,61,7.2,CN,1683407299
178,makamba,-4.1348,29.804,62.49,94,8,3.24,BI,1683407323
179,howrah,22.5892,88.3103,84.2,84,20,9.22,IN,1683407323
180,castillos,-34.1667,-53.8333,66.33,98,100,8.37,UY,1683407323
181,iskateley,67.6803,53.1512,15.71,96,10,9.04,RU,1683407324
182,lihue,21.9789,-159.3672,78.39,67,100,20.71,US,1683407131
183,taroa,8.7058,171.2275,82.02,82,97,16.17,MH,1683407324
184,la passe,45.5549,-0.8967,62.83,94,11,8.48,FR,1683407324
185,fale old settlement,-9.3852,-171.2468,84.0,77,8,14.43,TK,1683407324
186,saacow,1.6279,42.4407,78.69,77,66,11.39,SO,1683407325
187,kone,-21.0595,164.8658,73.53,77,0,1.81,NC,1683407115
188,kasempa,-13.4584,25.8338,60.01,63,2,4.94,ZM,1683407325
189,utrik,11.2278,169.8474,80.92,78,97,16.98,MH,1683407325
190,igarka,67.4667,86.5833,11.61,89,25,6.35,RU,1683407325
191,guano,-1.5833,-78.6333,57.56,74,100,6.82,EC,1683407326
192,hammerfest,70.6634,23.6821,36.05,69,100,5.75,NO,1683407326
193,isangel,-19.55,169.2667,79.77,78,9,4.52,VU,1683407267
194,nuuk,64.1835,-51.7216,34.41,80,75,16.11,GL,1683407326
195,pimentel,-6.8367,-79.9342,82.69,61,75,18.41,PE,1683407326
196,balabac,7.9868,117.0645,80.62,82,99,7.63,PH,1683407327
197,carbonear,47.7332,-53.2148,40.6,85,98,10.94,CA,1683407327
198,berdigestyakh,62.0989,126.6992,34.61,100,100,7.31,RU,1683407327
199,balikpapan,-1.2675,116.8289,77.99,94,20,3.44,ID,1683407327
200,sinsang-ni,39.6503,127.4058,48.72,60,100,2.19,KP,1683407327
201,jianshui,23.6363,102.8264,69.71,55,0,4.9,CN,1683407327
202,emmett,43.8735,-116.4993,63.77,54,95,1.99,US,1683407084
203,pervomayskoye,43.919,46.7102,51.39,94,97,8.25,RU,1683407328
204,mahalapye,-23.1041,26.8142,69.6,40,4,9.24,BW,1683407328
205,kerrville,30.0474,-99.1403,89.46,63,75,13.8,US,1683407073
206,kargasok,59.0556,80.8572,51.98,85,67,8.03,RU,1683407328
207,quellon,-43.1167,-73.6167,53.85,82,0,10.36,CL,1683407329
208,badr hunayn,23.7829,38.7905,83.52,28,27,1.97,SA,1683407314
209,punta arenas,-53.15,-70.9167,46.51,66,20,17.27,CL,1683407052
210,lorengau,-2.0226,147.2712,82.4,78,22,5.08,PG,1683407329
211,pangoa,-12.1167,-73.0,79.07,71,62,3.71,PE,1683407329
212,fortuna,40.5982,-124.1573,60.93,63,22,4.0,US,1683407330
213,morant bay,17.8815,-76.4093,81.72,69,56,12.62,JM,1683407330
214,sitka,57.0531,-135.33,49.89,62,75,9.22,US,1683407330
215,atafu village,-8.5421,-172.5159,84.2,73,0,13.73,TK,1683407330
216,maile,-38.9466,-72.3727,59.61,67,24,4.25,CL,1683407330
217,port saint john's,-31.6229,29.5448,67.91,87,100,7.58,ZA,1683407331
218,ciudad bolivar,8.1222,-63.5497,93.25,38,77,18.63,VE,1683407331
219,bengkulu,-3.8004,102.2655,77.04,88,100,8.75,ID,1683407331
